k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
1.1*(1 - 2*delta*selfRate),0,0.3702272389524254,0.42929968198171486,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.47099320889210683,0.38320630562610614,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3141563375283908,0.3705241398382283,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4814831479361009,0.3281019740600064,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3418123654699501,0.27486990327519245,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3391172719003459,0.2933819015218577,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4573979105308321,0.36575943132815925,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.1258861746434521,0.13689518074702045,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3418073573667695,0.306755966149153,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2159765348229461,0.17948605026290032,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3081197417194318,0.3814473264224302,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.35419364595700376,0.42970287347426406,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.45644790242584676,0.4792789903586272,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3170558920808102,0.37770391701834427,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.1503901825748527,0.1403543897275722,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.36670239321789666,0.4721266595779049,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.44976132875136066,0.49852123404862614,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.38322409914627065,0.45799472415720277,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2999569117837704,0.29699584991857453,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.24279226889993377,0.2871952450228946,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4999324487733696,0.45678777208114085,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2643186264954639,0.28917844712964735,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.34674959582801457,0.3078887110557582,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3825155188391536,0.2868580411078747,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.23709032569607436,0.30192598388609093,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.16744745731235966,0.1458629536064534,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2642937489329401,0.23817058277158754,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4529020407877672,0.4102503557937631,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.46868502315817573,0.4009031974259638,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4906140209643728,0.36343819718043613,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.08592022530021426,0.09240758655781856,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.26501219742677784,0.25521193808732623,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.34568339249713287,0.4568574503821512,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.37418929236115295,0.341729395861773,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2782810301903764,0.28707186046114364,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.22781512486637823,0.24329425641993774,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.256394146879507,0.30397377042504214,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.21130445904183603,0.2527063683654017,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.11823308722135928,0.1158094164287371,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.18910312509435945,0.17274989409107855,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2744760220136281,0.3597514937374692,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.36511838113417494,0.4600887418261427,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.15258587182376426,0.13814626002526542,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.26435544285620327,0.29130669243198093,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4517229913052042,0.44771286264257293,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4002962748302741,0.4368514371246426,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2630526076275488,0.32962392684099817,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2163026188309516,0.19439873269461105,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.12115691833785047,0.1354135003843152,0,0,0
