C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0.,0.12818343913443442,0.4896867281452243,1,0,1
0.75,0.2,6.38,0.,0.08269214017904702,0.3749014931193946,1,0,1
0.75,0.2,6.38,0.,0.10814802161794235,0.3878664100573339,2,0,2
0.75,0.2,6.38,0.,0.09730892623625931,0.4162888645283087,1,0,1
0.75,0.2,6.38,0.,0.08015842279867513,0.3231456183700282,2,0,2
0.75,0.2,6.38,0.,0.12790029777860124,0.4586986823221292,2,0,2
0.75,0.2,6.38,0.,0.09052186253904626,0.3549719594824664,2,0,2
0.75,0.2,6.38,0.,0.04773036902360084,0.2454959094237209,2,0,2
0.75,0.2,6.38,0.,0.05058397194233266,0.29662911316245744,1,0,1
0.75,0.2,6.38,0.,0.1063339674373649,0.4820682686886595,1,0,1
0.75,0.2,6.38,0.,0.1627243699359613,0.49189880249919304,2,0,2
0.75,0.2,6.38,0.,0.13837346479411516,0.4817847464797129,2,0,2
0.75,0.2,6.38,0.,0.08333077713808612,0.37692451554822937,1,0,1
0.75,0.2,6.38,0.,0.10076895329795332,0.4255895040677059,1,0,1
0.75,0.2,6.38,0.,0.12159459849250975,0.48419888706565917,1,0,1
0.75,0.2,6.38,0.,0.11656325076157292,0.479517461795925,1,0,1
0.75,0.2,6.38,0.,0.08890692277098045,0.45681401098513263,1,0,1
0.75,0.2,6.38,0.,0.06689410454367939,0.35877501889988017,1,0,1
0.75,0.2,6.38,0.,0.08605242904540789,0.3635773315889653,2,0,2
0.75,0.2,6.38,0.,0.06768061816882753,0.3667778505189948,1,0,1
0.75,0.2,6.38,0.,0.07323222998654977,0.43185654301349197,1,0,1
0.75,0.2,6.38,0.,0.06153273920121527,0.3534002210792737,1,0,1
0.75,0.2,6.38,0.,0.09178328289282911,0.4777041007584981,1,0,1
0.75,0.2,6.38,0.,0.09637748090294829,0.43427463253604925,1,0,1
0.75,0.2,6.38,0.,0.08042793798998349,0.42698093623392985,1,0,1
0.75,0.2,6.38,0.,0.11953205023665114,0.4487728795271655,2,0,2
0.75,0.2,6.38,0.,0.13935056739816376,0.485862737012256,2,0,2
0.75,0.2,6.38,0.,0.08793862056791935,0.3944522488226079,1,0,1
0.75,0.2,6.38,0.,0.05256752658875896,0.26562095715964007,2,0,2
0.75,0.2,6.38,0.,0.11505002435352185,0.42258404539561034,2,0,2
0.75,0.2,6.38,0.,0.05587508161735166,0.3084377047433028,1,0,1
0.75,0.2,6.38,0.,0.08174275941680931,0.4175443752822873,1,0,1
0.75,0.2,6.38,0.,0.06585928351205483,0.367171045768404,1,0,1
0.75,0.2,6.38,0.,0.14461470910468066,0.4762625593316443,2,0,2
0.75,0.2,6.38,0.,0.11535976245381896,0.49234670873933695,1,0,1
0.75,0.2,6.38,0.,0.11891385750303796,0.4654887473145852,1,0,1
0.75,0.2,6.38,0.,0.14630548179381453,0.4893318142088706,2,0,2
0.75,0.2,6.38,0.,0.10709187672973752,0.4307391406591161,1,0,1
0.75,0.2,6.38,0.,0.09009168206038198,0.4871796095858618,1,0,1
0.75,0.2,6.38,0.,0.09733879995753547,0.4792458888867356,1,0,1
