k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.77,0,0.013235368146343185,0.07560434086902978,0,0,0
0.77,0,0.0591811924005351,0.35353603231521413,2,0,2
0.77,0,0.0670030770002713,0.4743994944356563,0,1,-1
0.77,0,0.08631238396043728,0.40512017191890193,3,1,2
0.77,0,0.06376601062216569,0.38283911432656703,0,0,0
0.77,0,0.047594440911816194,0.2796864662705526,2,0,2
0.77,0,0.07016549084528056,0.3463015783561545,0,1,-1
0.77,0,0.04897788028817507,0.2710510319191446,2,0,2
0.77,0,0.05116813105304108,0.3051758908582882,2,0,2
0.77,0,0.05999905846379394,0.3581411013364386,2,0,2
0.77,0,0.06713707235513511,0.47599623096312815,0,1,-1
0.77,0,0.0741100976754312,0.4177788968648315,2,0,2
0.77,0,0.07233445322993948,0.46476278605874577,2,0,2
0.77,0,0.0134106159422549,0.08210286450044424,2,0,2
0.77,0,0.04892657600232464,0.25778208771811273,0,0,0
0.77,0,0.0814563528316482,0.4872986887720918,0,0,0
0.77,0,0.061780824098303766,0.27151283415049243,0,1,-1
0.77,0,0.08527979023373022,0.49656630372443855,2,0,2
0.77,0,0.10536044758820795,0.47046372953013615,0,1,-1
0.77,0,0.020919185384701056,0.1306875319991302,0,0,0
0.77,0,0.029036531571750457,0.1692394182184065,2,0,2
0.77,0,0.08473091124067522,0.46734292570115765,0,0,0
0.77,0,0.023461381985391383,0.16829392186219638,3,1,2
0.77,0,0.09473497491535998,0.49410084260833464,2,0,2
0.77,0,0.07333461526281138,0.3659400131927727,2,0,2
0.77,0,0.06032228016153618,0.313256644901842,0,0,0
0.77,0,0.04394007724812099,0.3406590990248378,3,1,2
0.77,0,0.05455569050148701,0.37574923817593053,0,1,-1
0.77,0,0.04168557241561033,0.2275915773941536,2,0,2
0.77,0,0.04341424632130342,0.325988573339169,3,1,2
0.77,0,0.06650307951669354,0.4247669128804634,0,0,0
0.77,0,0.034482525281063325,0.2533513185452041,3,1,2
0.77,0,0.06357042581259575,0.3550688205657381,2,0,2
0.77,0,0.07668601530085684,0.3390324503974568,3,1,2
0.77,0,0.04396848210546367,0.23833071181848808,2,0,2
