C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,0.77,0,0.05153589283702176,0.42356714001725315,3,1,2
0.75,0.2,0.77,0,0.05441823332598472,0.44643895022164626,3,1,2
0.75,0.2,0.77,0,0.06618885630639604,0.4038664005553193,2,0,2
0.75,0.2,0.77,0,0.08594830311015911,0.37991861875581234,3,1,2
0.75,0.2,0.77,0,0.09446008796398409,0.3572582222333631,3,1,2
0.75,0.2,0.77,0,0.05655280471512225,0.2518350083999671,3,1,2
0.75,0.2,0.77,0,0.06523380763150588,0.47020824205443434,2,0,2
0.75,0.2,0.77,0,0.11194437502922894,0.4815234526386688,3,1,2
0.75,0.2,0.77,0,0.053478303149475326,0.3887445341343433,2,0,2
0.75,0.2,0.77,0,0.043066500279692166,0.2240972427554646,2,0,2
0.75,0.2,0.77,0,0.09229171980682138,0.3469242328446287,3,1,2
0.75,0.2,0.77,0,0.06332108191842778,0.444661933328353,2,0,2
0.75,0.2,0.77,0,0.04707748757368624,0.425575650640867,3,1,2
0.75,0.2,0.77,0,0.0837816466851855,0.31564654998294484,3,1,2
0.75,0.2,0.77,0,0.12818343913443442,0.4896867281452243,3,1,2
0.75,0.2,0.77,0,0.08269214017904702,0.3749014931193946,2,0,2
0.75,0.2,0.77,0,0.10814802161794235,0.3878664100573339,3,1,2
0.75,0.2,0.77,0,0.0965649772041921,0.3542687416894337,3,1,2
0.75,0.2,0.77,0,0.09730892623625931,0.4162888645283087,3,1,2
0.75,0.2,0.77,0,0.08015842279867513,0.3231456183700282,3,1,2
0.75,0.2,0.77,0,0.12790029777860124,0.4586986823221292,3,1,2
0.75,0.2,0.77,0,0.04400274253139447,0.35652568139093643,3,1,2
0.75,0.2,0.77,0,0.09052186253904626,0.3549719594824664,3,1,2
0.75,0.2,0.77,0,0.041280830775920596,0.32560985520132346,3,1,2
0.75,0.2,0.77,0,0.04773036902360084,0.2454959094237209,2,0,2
0.75,0.2,0.77,0,0.05058397194233266,0.29662911316245744,2,0,2
0.75,0.2,0.77,0,0.1063339674373649,0.4820682686886595,2,0,2
0.75,0.2,0.77,0,0.13837346479411516,0.4817847464797129,3,1,2
0.75,0.2,0.77,0,0.10547933516870811,0.3775468970257463,3,1,2
0.75,0.2,0.77,0,0.08333077713808612,0.37692451554822937,2,0,2
0.75,0.2,0.77,0,0.028916073324026015,0.14005573759475853,2,0,2
0.75,0.2,0.77,0,0.10076895329795332,0.4255895040677059,3,1,2
0.75,0.2,0.77,0,0.07430742047373362,0.4934715762736418,2,0,2
0.75,0.2,0.77,0,0.0560970568320035,0.4406637256694207,3,1,2
0.75,0.2,0.77,0,0.12159459849250975,0.48419888706565917,3,1,2
0.75,0.2,0.77,0,0.007730304422726597,0.0689557978617511,3,1,2
0.75,0.2,0.77,0,0.11656325076157292,0.479517461795925,3,1,2
0.75,0.2,0.77,0,0.04633432447021846,0.290503981735704,2,0,2
0.75,0.2,0.77,0,0.06394247246929974,0.4889010829100391,3,1,2
0.75,0.2,0.77,0,0.04088709477286612,0.2621014565027292,2,0,2
0.75,0.2,0.77,0,0.044661104482271785,0.4243054305634808,3,1,2
0.75,0.2,0.77,0,0.08890692277098045,0.45681401098513263,2,0,2
