C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.25,0.8,0.606,0.,0.48558453779986754,0.5743904900457892,0,0,0
0.25,0.8,0.606,0.,0.9998648975467392,0.9135755441622817,1,0,1
0.25,0.8,0.606,0.,0.43437112032195335,0.8086279341773845,0,0,0
0.25,0.8,0.606,0.,0.4230708416756619,0.7940481617314756,0,0,0
0.25,0.8,0.606,0.,0.5286372529909278,0.5783568942592947,0,0,0
0.25,0.8,0.606,0.,0.25931489367455285,0.3204142783292474,0,0,0
0.25,0.8,0.606,0.,0.6934991916560291,0.6157774221115164,0,0,0
0.25,0.8,0.606,0.,0.7650310376783072,0.5737160822157494,1,0,1
0.25,0.8,0.606,0.,0.34823464220811173,0.5706399647719442,0,0,0
0.25,0.8,0.606,0.,0.4741806513921487,0.6038519677721819,0,0,0
0.25,0.8,0.606,0.,0.34007931948333936,0.48088908079082415,0,0,0
0.25,0.8,0.606,0.,0.5941592823894941,0.9766669619377639,0,0,0
0.25,0.8,0.606,0.,0.34557372838160094,0.5705440430613082,0,0,0
0.25,0.8,0.606,0.,0.3348949146247193,0.2917259072129068,0,0,0
0.25,0.8,0.606,0.,0.5285874978658802,0.47634116554317507,0,0,0
0.25,0.8,0.606,0.,0.9058040815755344,0.8205007115875262,0,0,0
0.25,0.8,0.606,0.,0.9373700463163515,0.8018063948519276,1,0,1
0.25,0.8,0.606,0.,0.9812280419287456,0.7268763943608723,1,0,1
0.25,0.8,0.606,0.,0.17184045060042852,0.1848151731156371,0,0,0
0.25,0.8,0.606,0.,0.41334305053342435,0.6360853671049949,0,0,0
0.25,0.8,0.606,0.,0.4122433339925413,0.7430005923265921,0,0,0
0.25,0.8,0.606,0.,0.7718846946831346,0.5430252698869464,1,0,1
0.25,0.8,0.606,0.,0.5300243948535557,0.5104238761746525,0,0,0
0.25,0.8,0.606,0.,0.5096337437527683,0.7038398125399286,0,0,0
0.25,0.8,0.606,0.,0.3307419594835659,0.40118813080007554,0,0,0
0.25,0.8,0.606,0.,0.6913667849942657,0.9137149007643024,0,0,0
0.25,0.8,0.606,0.,0.8919643567178466,0.5262262662626269,1,0,1
0.25,0.8,0.606,0.,0.7483785847223059,0.683458791723546,0,0,0
0.25,0.8,0.606,0.,0.5565620603807528,0.5741437209222873,0,0,0
0.25,0.8,0.606,0.,0.45563024973275645,0.4865885128398755,0,0,0
0.25,0.8,0.606,0.,0.4858568928388578,0.9972056279536481,0,0,0
0.25,0.8,0.606,0.,0.512788293759014,0.6079475408500843,0,0,0
0.25,0.8,0.606,0.,0.8040545288831245,0.54991942747397,1,0,1
0.25,0.8,0.606,0.,0.2752706864834229,0.38006675950793567,0,0,0
0.25,0.8,0.606,0.,0.42260891808367207,0.5054127367308034,0,0,0
0.25,0.8,0.606,0.,0.36989316183718324,0.3092509839134867,0,0,0
0.25,0.8,0.606,0.,0.5075686367376275,0.7331326922261439,0,0,0
0.25,0.8,0.606,0.,0.988305182551183,0.638034507154789,1,0,1
0.25,0.8,0.606,0.,0.23646617444271856,0.2316188328574742,0,0,0
0.25,0.8,0.606,0.,0.3782062501887189,0.3454997881821571,0,0,0
0.25,0.8,0.606,0.,0.5489520440272562,0.7195029874749383,0,0,0
0.25,0.8,0.606,0.,0.6054909052986384,0.46334807928564525,0,0,0
0.25,0.8,0.606,0.,0.6572426118053163,0.4647479035071249,1,0,1
0.25,0.8,0.606,0.,0.7302367622683499,0.9201774836522854,0,0,0
0.25,0.8,0.606,0.,0.3051717436475285,0.27629252005053084,0,0,0
0.25,0.8,0.606,0.,0.5287108857124065,0.5826133848639619,0,0,0
0.25,0.8,0.606,0.,0.9034459826104084,0.8954257252851459,0,0,0
0.25,0.8,0.606,0.,0.8005925496605482,0.8737028742492852,0,0,0
0.25,0.8,0.606,0.,0.5261052152550976,0.6592478536819963,0,0,0
0.25,0.8,0.606,0.,0.4326052376619032,0.3887974653892221,0,0,0
0.25,0.8,0.606,0.,0.24231383667570094,0.2708270007686304,0,0,0
0.25,0.8,0.606,0.,0.6767111669222696,0.9786251504507821,0,0,0
0.25,0.8,0.606,0.,0.7785515359133055,0.6200930578087887,1,0,1
0.25,0.8,0.606,0.,0.9832853875268401,0.9077409812135482,0,0,0
0.25,0.8,0.606,0.,0.5860736305631258,0.825779769048895,0,0,0
0.25,0.8,0.606,0.,0.8468955649446344,0.5886477109593371,1,0,1
0.25,0.8,0.606,0.,0.6641348076870308,0.9735236241681391,0,0,0
0.25,0.8,0.606,0.,0.745664437033148,0.9619352424838761,0,0,0
0.25,0.8,0.606,0.,0.7622681553925139,0.5433760911844878,1,0,1
0.25,0.8,0.606,0.,0.7136223252654603,0.8483097271406754,0,0,0
0.25,0.8,0.606,0.,0.4961721820215257,0.718590909969461,0,0,0
0.25,0.8,0.606,0.,0.9282261392119253,0.9073201735666072,0,0,0
0.25,0.8,0.606,0.,0.44259959649615976,0.7873834116375205,0,0,0
0.25,0.8,0.606,0.,0.5622955290231584,0.47059023828782864,0,0,0
0.25,0.8,0.606,0.,0.6330243625095724,0.4631769074393701,0,0,0
0.25,0.8,0.606,0.,0.4649225757028532,0.7440732253896896,0,0,0
0.25,0.8,0.606,0.,0.7529523363804087,0.9011897175846368,0,0,0
0.25,0.8,0.606,0.,0.19544092533339574,0.2196140141488101,0,0,0
0.25,0.8,0.606,0.,0.969238071063687,0.8506031750889629,1,0,1
0.25,0.8,0.606,0.,0.7678119218249784,0.6180695740619353,1,0,1
0.25,0.8,0.606,0.,0.7116324710377995,0.7682660606416989,0,0,0
0.25,0.8,0.606,0.,0.7245713446716875,0.6018192064517096,0,0,0
0.25,0.8,0.606,0.,0.7012841318762191,0.9563894357642104,0,0,0
0.25,0.8,0.606,0.,0.37185497783031307,0.38223564658211706,0,0,0
0.25,0.8,0.606,0.,0.5394586489994018,0.4239256698573237,0,0,0
0.25,0.8,0.606,0.,0.8187718276101101,0.6496804198773827,1,0,1
0.25,0.8,0.606,0.,0.920838184982478,0.8296632895529803,1,0,1
0.25,0.8,0.606,0.,0.7710152843995803,0.9471096271634727,0,0,0
0.25,0.8,0.606,0.,0.8160087136980347,0.7220701201714155,0,0,0
0.25,0.8,0.606,0.,0.27383193332832856,0.32339145329446106,0,0,0
0.25,0.8,0.606,0.,0.5200749836022689,0.8933987572406026,0,0,0
0.25,0.8,0.606,0.,0.45582772484601985,0.5934305341324115,0,0,0
0.25,0.8,0.606,0.,0.32911497133564405,0.35288657536287027,0,0,0
0.25,0.8,0.606,0.,0.42545102768796794,0.6418964689181148,0,0,0
0.25,0.8,0.606,0.,0.6196036073186002,0.856308132558899,0,0,0
0.25,0.8,0.606,0.,0.7990794314691287,0.5836878514404182,1,0,1
0.25,0.8,0.606,0.,0.7604822657183707,0.6241978241365298,0,0,0
0.25,0.8,0.606,0.,0.32846117103180617,0.32738917534837997,0,0,0
0.25,0.8,0.606,0.,0.6543395841535342,0.6465649774881734,0,0,0
0.25,0.8,0.606,0.,0.25769476183110784,0.31963434048389927,0,0,0
0.25,0.8,0.606,0.,0.5074919403221014,0.9583586434144193,0,0,0
0.25,0.8,0.606,0.,0.6988724930310999,0.9136048182963699,0,0,0
0.25,0.8,0.606,0.,0.9224573311960222,0.8124412601878017,1,0,1
0.25,0.8,0.606,0.,0.5075104323862758,0.6963187272887461,0,0,0
0.25,0.8,0.606,0.,0.7087103405083492,0.7566744226258335,0,0,0
0.25,0.8,0.606,0.,0.5579086724211522,0.826643187174523,0,0,0
0.25,0.8,0.606,0.,0.9152713140912796,0.6384354105677736,1,0,1
0.25,0.8,0.606,0.,0.6771948532393179,0.9014206662243307,0,0,0
0.25,0.8,0.606,0.,0.813853385160789,0.6962409691129372,0,0,0
0.25,0.8,0.606,0.,0.943300805062476,0.7965172057169947,1,0,1
0.25,0.8,0.606,0.,0.34167225228577336,0.3205782283475467,0,0,0
0.25,0.8,0.606,0.,0.9741287970320922,0.7194991192617519,1,0,1
0.25,0.8,0.606,0.,0.8481472704410096,0.5540368564387466,1,0,1
0.25,0.8,0.606,0.,0.4107005827738701,0.4045795894241666,0,0,0
0.25,0.8,0.606,0.,0.9332087089878085,0.8673476281475483,0,0,0
0.25,0.8,0.606,0.,0.7727658783199038,0.6512561523804135,0,0,0
0.25,0.8,0.606,0.,0.849703423777356,0.7714685151909333,0,0,0
0.25,0.8,0.606,0.,0.7494274644006247,0.977956552536414,0,0,0
0.25,0.8,0.606,0.,0.46567255741564173,0.4338941204543534,0,0,0
0.25,0.8,0.606,0.,0.46949007995283343,0.47874988044001054,0,0,0
