C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.25,0.8,1.2466666666666668,0,0.32099332768563615,0.1153650569340332,3,1,2
0.25,0.8,1.2466666666666668,0,0.1040933261564857,0.3556667473185342,2,1,1
0.25,0.8,1.2466666666666668,0,0.21688995198944128,0.23444015524408468,1,0,1
0.25,0.8,1.2466666666666668,0,0.3169927666741317,0.2741110044363537,1,0,1
0.25,0.8,1.2466666666666668,0,0.10966549012905014,0.3039993647667436,2,1,1
0.25,0.8,1.2466666666666668,0,0.10843244279052311,0.1723595158464405,2,0,2
0.25,0.8,1.2466666666666668,0,0.23958659903173507,0.06375114121093373,3,1,2
0.25,0.8,1.2466666666666668,0,0.41410636580685156,0.4200004690220881,1,0,1
0.25,0.8,1.2466666666666668,0,0.14159677664009207,0.3162914935744968,1,0,1
0.25,0.8,1.2466666666666668,0,0.4398871551547192,0.1363305762719168,3,1,2
0.25,0.8,1.2466666666666668,0,0.36151553196170283,0.4120626136237223,1,0,1
0.25,0.8,1.2466666666666668,0,0.16359206394319514,0.4929036016013413,2,1,1
0.25,0.8,1.2466666666666668,0,0.07869038565544284,0.03919071900773652,3,1,2
0.25,0.8,1.2466666666666668,0,0.06656644853788052,0.22373294638328434,3,1,2
0.25,0.8,1.2466666666666668,0,0.3392275438677519,0.4119128189524194,1,0,1
0.25,0.8,1.2466666666666668,0,0.3337666198450263,0.19660488270054988,1,0,1
0.25,0.8,1.2466666666666668,0,0.04151539051682984,0.22156727181234948,3,1,2
0.25,0.8,1.2466666666666668,0,0.47166411642772466,0.26759164756192944,1,0,1
0.25,0.8,1.2466666666666668,0,0.3395054798636964,0.27315359587325483,1,0,1
0.25,0.8,1.2466666666666668,0,0.1989851707034036,0.09368875047337488,3,1,2
0.25,0.8,1.2466666666666668,0,0.2880990534998449,0.3161860902362226,1,0,1
0.25,0.8,1.2466666666666668,0,0.09558813747943717,0.16469333604725045,2,0,2
0.25,0.8,1.2466666666666668,0,0.3604966872897196,0.46854027203395754,1,0,1
0.25,0.8,1.2466666666666668,0,0.16421240216805788,0.11189108951877114,2,0,2
0.25,0.8,1.2466666666666668,0,0.1742059500937525,0.36037316366426575,1,0,1
0.25,0.8,1.2466666666666668,0,0.022860238689911716,0.16067976881749801,3,1,2
0.25,0.8,1.2466666666666668,0,0.13317043070802626,0.46419689727955993,2,1,1
0.25,0.8,1.2466666666666668,0,0.2527985823620915,0.2588663983115842,1,0,1
0.25,0.8,1.2466666666666668,0,0.26161520069210487,0.35259823237955457,1,0,1
0.25,0.8,1.2466666666666668,0,0.050814634747940346,0.21289116805795372,3,1,2
0.25,0.8,1.2466666666666668,0,0.4982403533874925,0.15719952323422282,3,1,2
0.25,0.8,1.2466666666666668,0,0.4646088753323031,0.12769417560646001,3,1,2
0.25,0.8,1.2466666666666668,0,0.2354563881497218,0.3952702115385047,1,0,1
0.25,0.8,1.2466666666666668,0,0.253617884802642,0.44095033949927975,1,0,1
0.25,0.8,1.2466666666666668,0,0.008747541137789527,0.008176122068558,2,0,2
0.25,0.8,1.2466666666666668,0,0.384027527106512,0.2693161415172941,1,0,1
0.25,0.8,1.2466666666666668,0,0.3447145305946093,0.37086512184476905,1,0,1
0.25,0.8,1.2466666666666668,0,0.2054632626885794,0.4207031966387811,1,0,1
0.25,0.8,1.2466666666666668,0,0.1880953350903377,0.14852586526395972,2,0,2
0.25,0.8,1.2466666666666668,0,0.0763085363685172,0.34754072193607677,3,1,2
0.25,0.8,1.2466666666666668,0,0.188857086393041,0.21687542148587402,1,0,1
0.25,0.8,1.2466666666666668,0,0.23915184885969787,0.4985789892936595,1,0,1
0.25,0.8,1.2466666666666668,0,0.48090404052822966,0.18924264243180067,3,1,2
0.25,0.8,1.2466666666666668,0,0.27925559657884536,0.44200619649974715,1,0,1
0.25,0.8,1.2466666666666668,0,0.1323349732580814,0.02868328972512968,3,1,2
0.25,0.8,1.2466666666666668,0,0.4778375938317313,0.4418413270828927,1,0,1
0.25,0.8,1.2466666666666668,0,0.3176809453397883,0.06097893081702843,3,1,2
0.25,0.8,1.2466666666666668,0,0.14568706450389912,0.41521321251562093,2,1,1
0.25,0.8,1.2466666666666668,0,0.03640051878672035,0.1394270574461769,3,1,2
0.25,0.8,1.2466666666666668,0,0.2629632229835486,0.14135469659711442,2,0,2
0.25,0.8,1.2466666666666668,0,0.10211249450051507,0.23327668699909887,1,0,1
0.25,0.8,1.2466666666666668,0,0.34954483200816955,0.49886887063671315,1,0,1
0.25,0.8,1.2466666666666668,0,0.47066660087703116,0.3396722649069245,1,0,1
0.25,0.8,1.2466666666666668,0,0.24565692024275754,0.24845823941395917,1,0,1
0.25,0.8,1.2466666666666668,0,0.19822403704220037,0.48403605858897303,1,0,1
0.25,0.8,1.2466666666666668,0,0.08844028266560611,0.15313014178576123,2,0,2
0.25,0.8,1.2466666666666668,0,0.3370613637590565,0.07557482120386527,3,1,2
0.25,0.8,1.2466666666666668,0,0.10185914325199763,0.09047468516774648,2,0,2
0.25,0.8,1.2466666666666668,0,0.3656475324030197,0.3259285028107538,1,0,1
0.25,0.8,1.2466666666666668,0,0.10433253026120981,0.14222012537297535,2,0,2
0.25,0.8,1.2466666666666668,0,0.08624571385531243,0.4041189684281189,3,1,2
0.25,0.8,1.2466666666666668,0,0.1569926745354745,0.4768310810389593,2,1,1
0.25,0.8,1.2466666666666668,0,0.3193542816659679,0.4521162190849517,1,0,1
