C,delta,k,r,sm,sf,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0,0.047413769,0.439534113,3,1,2
0.75,0.2,6.38,0,0.053404739,0.489420927,3,1,2
0.75,0.2,6.38,0,0.057459452,0.247090732,3,1,2
0.75,0.2,6.38,0,0.074567893,0.262203377,3,1,2
0.75,0.2,6.38,0,0.062218828,0.250379999,3,1,2
0.75,0.2,6.38,0,0.02336109,0.185352312,3,1,2
0.75,0.2,6.38,0,0.073103494,0.287745543,3,1,2
0.75,0.2,6.38,0,0.041903083,0.263435276,2,0,2
0.75,0.2,6.38,0,0.129004941,0.478495684,3,1,2
0.75,0.2,6.38,0,0.066222152,0.433814309,2,0,2
0.75,0.2,6.38,0,0.043101305,0.254385174,2,0,2
0.75,0.2,6.38,0,0.067006153,0.443333692,2,0,2
0.75,0.2,6.38,0,0.066210218,0.459255545,2,0,2
0.75,0.2,6.38,0,0.020435092,0.15053665,3,1,2
0.75,0.2,6.38,0,0.047505019,0.309673754,2,0,2
0.75,0.2,6.38,0,0.040843415,0.177627047,3,1,2
0.75,0.2,6.38,0,0.047838833,0.314379433,2,0,2
0.75,0.2,6.38,0,0.05910281,0.424340034,2,0,2
0.75,0.2,6.38,0,0.033481673,0.18261344,2,0,2
0.75,0.2,6.38,0,0.056108478,0.427787291,3,1,2
0.75,0.2,6.38,0,0.052377484,0.327818374,2,0,2
0.75,0.2,6.38,0,0.017557216,0.143679989,3,1,2
0.75,0.2,6.38,0,0.048815591,0.454245306,3,1,2
0.75,0.2,6.38,0,0.130277708,0.463248543,3,1,2
0.75,0.2,6.38,0,0.019550228,0.096200509,2,0,2
0.75,0.2,6.38,0,0.029154645,0.279183531,3,1,2
0.75,0.2,6.38,0,0.046012215,0.253717444,2,0,2
0.75,0.2,6.38,0,0.062449166,0.37917527,2,0,2
0.75,0.2,6.38,0,0.071775618,0.423271286,2,0,2
0.75,0.2,6.38,0,0.040716458,0.180104133,3,1,2
0.75,0.2,6.38,0,0.061968234,0.4497833,2,0,2
0.75,0.2,6.38,0,0.041282012,0.230461984,2,0,2
0.75,0.2,6.38,0,0.053727776,0.29230846,2,0,2
0.75,0.2,6.38,0,0.117953968,0.485649732,3,1,2
0.75,0.2,6.38,0,0.124317544,0.462885873,3,1,2
0.75,0.2,6.38,0,0.016439583,0.112058155,2,0,2
0.75,0.2,6.38,0,0.012858682,0.0778477,2,0,2
0.75,0.2,6.38,0,0.00775781,0.030917521,3,1,2
0.75,0.2,6.38,0,0.059911092,0.385929859,2,0,2
0.75,0.2,6.38,0,0.097120354,0.393298796,3,1,2
0.75,0.2,6.38,0,0.080531667,0.398153778,2,0,2
0.75,0.2,6.38,0,0.111573496,0.40817304,3,1,2
0.75,0.2,6.38,0,0.099969894,0.39462084,3,1,2
0.75,0.2,6.38,0,0.020235794,0.09913662,2,0,2
0.75,0.2,6.38,0,0.060925111,0.310784904,2,0,2
0.75,0.2,6.38,0,0.083018266,0.401654525,2,0,2
0.75,0.2,6.38,0,0.079880039,0.426018661,2,0,2
0.75,0.2,6.38,0,0.017383488,0.067020901,3,1,2
0.75,0.2,6.38,0,0.120879289,0.425428032,3,1,2
0.75,0.2,6.38,0,0.111517613,0.390278007,3,1,2
0.75,0.2,6.38,0,0.127956123,0.470880086,3,1,2
0.75,0.2,6.38,0,0.026873512,0.200716484,3,1,2
0.75,0.2,6.38,0,0.066205014,0.289836364,3,1,2
0.75,0.2,6.38,0,0.111976444,0.391377256,3,1,2
0.75,0.2,6.38,0,0.051322282,0.338755419,2,0,2
0.75,0.2,6.38,0,0.041168391,0.179808597,3,1,2
